Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_22_485.jpg;0;0;1;0.5408089;111.9383;49.57869;359.873;300.9336;-5.230043E-05
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_22_624.jpg;0;0;0;0.5395772;111.9935;49.48668;359.8744;300.9336;-1.917994E-05
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_22_690.jpg;0;0;0;0.5322462;112.0099;49.45928;359.8748;300.9336;-9.718368E-06
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_22_758.jpg;0;0;0;0.5304291;112.0317;49.4229;359.8754;300.9336;2.381233E-06
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_22_823.jpg;0;0;0;0.5286182;112.048;49.39571;359.8758;300.9336;1.014859E-05
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_22_890.jpg;0;0;0;0.5262132;112.0642;49.36863;359.8763;300.9336;1.766915E-05
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_22_958.jpg;0;0;0;0.5244167;112.0858;49.33265;359.8768;300.9336;2.456939E-05
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_023.jpg;1.896053;0;0;0.5226262;112.1021;49.30593;359.877;300.9773;0.006433433
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_089.jpg;1.942065;0;0;0.5198063;112.1188;49.27961;359.8766;301.1055;0.02353791
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_157.jpg;-2.092984;0;0;0.5180977;112.1399;49.244;359.876;301.0652;0.01567723
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_224.jpg;-6.089288;0;0;0.5159003;112.1548;49.21692;359.8741;300.8659;359.9869
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_290.jpg;-10.10407;0;0;0.5123213;112.1688;49.18958;359.8698;300.5355;359.941
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_358.jpg;-14.12971;0;0;0.508617;112.1858;49.15277;359.8602;299.8804;359.8553
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_424.jpg;-15;0;0;0.5045229;112.1978;49.12502;359.858;299.317;359.7913
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_491.jpg;-12.88586;0;0;0.5005668;112.2096;49.09727;359.8628;298.7736;359.741
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_552.jpg;-9.304599;0;0;0.4997087;112.2261;49.06064;359.8756;298.243;359.7086
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_617.jpg;-5.307975;0;0;0.4985743;112.2391;49.03351;359.887;297.9995;359.7103
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_691.jpg;-9.625847;0;0;0.4962113;112.2515;49.00632;359.8954;297.7031;359.7057
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_757.jpg;-13.58235;0;0;0.4929281;112.2664;48.96977;359.9019;297.0896;359.6785
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_825.jpg;-15;0;0;0.48921;112.2767;48.9423;359.9044;296.5419;359.653
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_884.jpg;-15;0;0;0.4856842;112.2866;48.91488;359.908;295.9933;359.6349
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_23_958.jpg;-15;0;0;0.4832095;112.2994;48.87842;359.911;295.2654;359.6183
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_026.jpg;-15;0;0;0.4807377;112.3086;48.85117;359.9117;294.7225;359.6115
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_090.jpg;-15;0;0;0.4775288;112.3174;48.82399;359.9118;294.183;359.6101
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_158.jpg;-15;0;0;0.4751718;112.3288;48.78788;359.9093;293.468;359.6139
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_224.jpg;-15;0;0;0.4728168;112.3369;48.76089;359.9057;292.9349;359.6205
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_290.jpg;-15;0;0;0.4697264;112.3447;48.73398;359.901;292.4049;359.6303
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_357.jpg;-15;0;0;0.4674378;112.3547;48.69824;359.8925;291.7024;359.6464
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_423.jpg;-15;0;0;0.4651583;112.3618;48.67153;359.8852;291.1789;359.6605
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_489.jpg;-15;0;0;0.4621342;112.3686;48.64489;359.8771;290.658;359.6758
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_561.jpg;-15;0;0;0.4598691;112.3773;48.60949;359.8659;289.9671;359.6969
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_623.jpg;-15;0;0;0.4576112;112.3835;48.58303;359.8574;289.4519;359.7132
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_689.jpg;-10.97732;0;0;0.4553086;112.39;48.55668;359.8515;289.017;359.7408
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_757.jpg;-6.972588;0;0;0.4543344;112.3995;48.52177;359.8488;288.6326;359.8021
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_824.jpg;-2.976234;0;0;0.4530076;112.4074;48.49583;359.8496;288.4932;359.8649
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_890.jpg;0;0;0;0.4506914;112.4157;48.47013;359.8518;288.4625;359.9377
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_24_957.jpg;0;0;0;0.4489655;112.427;48.43602;359.8562;288.4619;0.03029975
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_024.jpg;0;0;0;0.4473347;112.4355;48.41052;359.8605;288.4619;0.09202183
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_090.jpg;0;0;0;0.4451694;112.4439;48.3851;359.8653;288.462;0.1463668
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_156.jpg;0;0;0;0.4435592;112.4551;48.35134;359.8724;288.4622;0.2066088
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_223.jpg;0;0;0;0.4419656;112.4634;48.32607;359.8802;288.4614;0.2398186
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_289.jpg;0;0;0;0.4397626;112.4718;48.30083;359.8913;288.4605;0.2625941
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_357.jpg;0;0;0;0.4382003;112.4829;48.26734;359.9059;288.4603;0.2811809
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_424.jpg;0;0.1062934;0;0.4366736;112.4908;48.24337;359.892;288.467;0.2847369
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_485.jpg;0;0.2849092;0;0.4360224;112.4993;48.21772;359.9211;288.5115;0.2821813
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_551.jpg;0;0.4848033;0;0.4529975;112.5082;48.1911;359.9706;288.2734;0.2739434
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_624.jpg;0;0.6849177;0;0.4713656;112.5212;48.15139;0.12652;288.0245;0.2525472
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_690.jpg;-1.957633;0.8998888;0;0.5355256;112.5318;48.11736;0.3128556;288.0369;0.2075938
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_757.jpg;2.035346;1;0;0.5793313;112.5483;48.06712;0.6231063;287.9789;0.1379871
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_825.jpg;4.576745;1;0;0.6385272;112.5629;48.02588;0.8912113;288.1276;0.08668889
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_890.jpg;5.57316;1;0;0.6991344;112.5788;47.98225;1.162513;288.4093;0.02563273
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_25_958.jpg;6.569014;1;0;0.7340814;112.6019;47.92398;1.34357;288.8813;-0.005205208
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_024.jpg;2.573622;1;0;0.7856898;112.6188;47.88086;1.206643;289.1312;-0.002623174
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_089.jpg;-4.547458;1;0;0.8745364;112.635;47.83306;1.121132;289.0626;359.9936
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_158.jpg;-9.953368;1;0;0.9128133;112.6549;47.76239;1.094875;288.4435;359.9321
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_224.jpg;-13.94184;1;0;0.9622951;112.6685;47.70534;1.106072;287.6376;359.8659
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_290.jpg;-15;1;0;1.010712;112.6811;47.64633;1.085091;286.5083;359.8308
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_358.jpg;-15;1;0;1.058382;112.6965;47.56345;1.031228;284.9226;359.8266
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_423.jpg;-15;1;0;1.103996;112.7068;47.49758;1.005644;283.735;359.8218
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_490.jpg;-15;1;0;1.171775;112.7164;47.4282;1.005769;282.5438;359.8154
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_557.jpg;-15;1;0;1.214664;112.7275;47.3306;1.032677;280.9061;359.8062
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_624.jpg;-15;1;0;1.257153;112.7345;47.2542;1.047657;279.6042;359.813
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_690.jpg;-12.00946;1;0;1.320499;112.7409;47.1748;1.06482;278.4246;359.8403
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_757.jpg;-9.02206;1;0;1.371256;112.7497;47.06404;1.115124;277.1544;359.9095
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_824.jpg;-6.004179;1;0;1.41784;112.7567;46.97699;1.191143;276.462;359.9752
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_890.jpg;-5.991765;1;0;1.479909;112.7634;46.88692;1.278203;275.9247;0.003279874
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_26_957.jpg;-8.977835;1;0;1.525345;112.7692;46.76406;1.293899;274.8672;0.00467647
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_025.jpg;-11.94922;1;0;1.571405;112.7706;46.66965;1.246556;273.764;0.005608383
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_089.jpg;-12.10146;1;0;1.629768;112.769;46.57235;1.212538;272.4421;359.9759
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_157.jpg;-9.082747;1;0;1.676182;112.766;46.43786;1.197098;270.9543;359.9569
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_222.jpg;-6.100613;1;0;1.722639;112.7636;46.33339;1.207672;270.1411;359.9681
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_289.jpg;-3.054688;1;0;1.784563;112.7613;46.22566;1.245646;269.5952;-0.003757959
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_357.jpg;-0.0756203;1;0;1.828364;112.7584;46.0778;1.298392;269.3195;-0.0002090206
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_423.jpg;0;1;0;1.874453;112.7565;45.96426;1.30517;269.2809;-0.001048998
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_490.jpg;2.978366;1;0;1.935621;112.7554;45.84834;1.289014;269.4131;-0.002035756
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_550.jpg;0;1;0;1.980648;112.7547;45.72932;1.294635;269.569;-0.001974869
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_623.jpg;0;1;0;2.024735;112.7531;45.56659;1.298447;269.5916;-0.001245524
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_690.jpg;0;1;0;2.08483;112.7517;45.44134;1.304859;269.5848;-0.001204969
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_756.jpg;0;1;0;2.128892;112.7498;45.27032;1.305084;269.5693;-0.001170908
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_823.jpg;0;1;0;2.173836;112.7483;45.13884;1.311321;269.5577;-0.001213794
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_889.jpg;0;1;0;2.231959;112.7467;45.00477;1.315229;269.5473;-0.001235473
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_27_957.jpg;0;1;0;2.276602;112.7445;44.82196;1.316581;269.5321;-0.00124044
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_024.jpg;0;1;0;2.320563;112.7428;44.68175;1.318939;269.5199;-0.001250053
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_089.jpg;0;1;0;2.378551;112.741;44.53886;1.325504;269.5085;-0.001273255
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_157.jpg;0;1;0;2.421405;112.7385;44.3444;1.327691;269.4934;-0.001277113
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_223.jpg;0;1;0;2.465406;112.7366;44.1955;1.330742;269.4815;-0.001301775
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_290.jpg;0;1;0;2.522787;112.7346;44.04398;1.335908;269.47;-0.001329396
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_357.jpg;0;1;0;2.565682;112.7318;43.83792;1.343786;269.4551;-0.00135683
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_417.jpg;0;1;0;2.607972;112.7297;43.68058;1.33904;269.4434;-0.001330476
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_489.jpg;0;1;0;2.665993;112.7274;43.52048;1.343941;269.4308;-0.001254242
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_556.jpg;0;1;0;2.707633;112.7243;43.30305;1.353046;269.4134;-0.001391397
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_624.jpg;0;1;0;2.749947;112.722;43.13707;1.357335;269.4018;-0.001431899
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_689.jpg;0;1;0;2.806171;112.7195;42.9686;1.358883;269.3905;-0.001451779
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_756.jpg;0;1;0;2.848166;112.7161;42.74012;1.357355;269.3751;-0.001429093
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_823.jpg;0;1;0;2.889988;112.7134;42.56572;1.36179;269.3626;-0.001339696
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_893.jpg;0;1;0;2.945244;112.7098;42.32937;1.366447;269.3445;-0.001451204
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_28_956.jpg;0;1;0;2.986764;112.707;42.14927;1.366035;269.332;-0.001477025
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_024.jpg;0;0.8016245;0;3.027377;112.7041;41.96686;1.369042;269.3199;-0.0009708909
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_090.jpg;0;0.60369;0;3.066157;112.7011;41.783;1.360399;269.3049;-0.0008697326
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_157.jpg;0;0;0.09827943;3.0701;112.6971;41.53931;1.271513;269.28;-0.0005994433
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_223.jpg;0;0;0.2974135;3.037598;112.6941;41.36177;1.073263;269.2612;7.225577E-05
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_289.jpg;0;0;0.4979948;2.936788;112.6914;41.19193;0.7138121;269.2521;0.01724955
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_356.jpg;0;0;0.6956978;2.820146;112.6886;40.98249;359.9044;269.2541;0.06413169
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_423.jpg;0;0;0.8974885;2.669771;112.6855;40.84079;359.0606;269.2186;0.02152672
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_489.jpg;0;0;1;2.43615;112.6833;40.70985;358.1967;269.1841;359.9903
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_556.jpg;0;0;1;2.312776;112.681;40.5418;357.2968;269.2046;359.9937
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_623.jpg;0;0;1;2.190706;112.6796;40.41938;356.9089;269.2411;0.01952817
C:\Users\Carlos Eduardo Motta\Desktop\IMG\robocam_2017_06_01_21_19_29_689.jpg;0;0;1;2.031235;112.6773;40.30061;356.7393;269.251;359.9869
